Buffer Size (Bytes),File Size (KB),Time (ns)
0,100,2561607
0,200,5081848
0,300,7682045
0,400,10207492
0,500,12748581
0,600,15472131
0,700,16476671
0,800,16144778
0,900,16042907
0,1000,15973822
2,100,432005
2,200,848459
2,300,1269913
2,400,1715298
2,500,2354023
2,600,2555223
2,700,2968503
2,800,3382003
2,900,3817706
2,1000,4259012
4,100,153589
4,200,284756
4,300,422638
4,400,565415
4,500,707266
4,600,847830
4,700,984142
4,800,1133232
4,900,1260477
4,1000,1418741
8,100,103201
8,200,195345
8,300,280670
8,400,367356
8,500,462164
8,600,554945
8,700,650559
8,800,733230
8,900,829823
8,1000,918064
16,100,98475
16,200,153342
16,300,220829
16,400,309025
16,500,369394
16,600,443505
16,700,514043
16,800,600191
16,900,670965
16,1000,739544
32,100,88016
32,200,129586
32,300,188413
32,400,259733
32,500,319596
32,600,381520
32,700,443087
32,800,524986
32,900,573330
32,1000,629444
64,100,90757
64,200,117010
64,300,171585
64,400,224645
64,500,283483
64,600,354629
64,700,405927
64,800,464279
64,900,676072
64,1000,581254
128,100,99828
128,200,109251
128,300,143846
128,400,217735
128,500,251840
128,600,357332
128,700,357081
128,800,427309
128,900,498876
128,1000,535083
256,100,5768
256,200,263605
256,300,204565
256,400,298458
256,500,250637
256,600,353840
256,700,385163
256,800,491155
256,900,523461
256,1000,555887
512,100,2333
512,200,2108
512,300,280036
512,400,261335
512,500,278871
512,600,411285
512,700,424514
512,800,543890
512,900,543968
512,1000,541811
1024,100,2713
1024,200,1940
1024,300,1996
1024,400,1744
1024,500,1729
1024,600,598637
1024,700,552512
1024,800,612024
1024,900,593315
1024,1000,592674
2048,100,2535
2048,200,3617
2048,300,2308
2048,400,1834
2048,500,1843
2048,600,1821
2048,700,1843
2048,800,1529
2048,900,1836
2048,1000,1909
4096,100,2329
4096,200,6219
4096,300,2526
4096,400,1913
4096,500,1801
4096,600,2078
4096,700,1786
4096,800,1790
4096,900,1897
4096,1000,1847
8192,100,2170
8192,200,6004
8192,300,2645
8192,400,1904
8192,500,1803
8192,600,1759
8192,700,1946
8192,800,1793
8192,900,1845
8192,1000,1799
16384,100,2290
16384,200,6370
16384,300,3545
16384,400,2519
16384,500,2074
16384,600,1982
16384,700,2027
16384,800,2074
16384,900,2188
16384,1000,2041
32768,100,4598
32768,200,6231
32768,300,3080
32768,400,2293
32768,500,2189
32768,600,1987
32768,700,1984
32768,800,2255
32768,900,2384
32768,1000,2171
